box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.436,0.062,0.12,0.125,0.197,0.106,-10.0,-10.0,0.0,0.0,0.44999999999999996,0.95,44.153,73.589,0,0
0.436,0.062,0.12,0.125,0.174,0.117,0.444,0.177,0.197,0.106,0.44999999999999996,0.95,45.421,75.702,0,0
-0.43,0.059,0.113,0.119,0.185,0.197,-10.0,-10.0,0.0,0.0,-0.5,0.0,-0.682,15.53,0,-50.0
-0.509,0.059,0.113,0.119,0.112,0.187,-0.21,0.098,0.185,0.197,-0.25,0.25,4.973,8.289,0,0
-0.211,0.08,0.134,0.161,0.19,0.188,-10.0,-10.0,0.0,0.0,-0.2,0.3,0.09,16.818,0,-50.0
-0.211,0.08,0.134,0.161,0.111,0.176,-0.646,0.049,0.19,0.188,-0.5,0.0,-2.663,12.227,0,-50.0
0.174,0.091,0.112,0.184,0.173,0.138,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.65,-3.651,10.581,0,-50.0
0.173,0.091,0.112,0.184,0.154,0.162,0.598,0.049,0.173,0.138,0.44999999999999996,0.95,-0.242,16.263,0,-50.0
-0.378,0.086,0.105,0.174,0.159,0.16,-10.0,-10.0,0.0,0.0,-0.45,0.05,-14.953,1.745,-30.0,-50.0
0.319,0.049,0.105,0.174,0.172,0.12,-0.315,0.091,0.159,0.16,-0.2,0.3,-8.538,2.436,0,-50.0
0.151,0.05,0.101,0.102,0.154,0.106,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.65,1.863,19.772,0,-50.0
0.15,0.05,0.101,0.102,0.112,0.181,0.36,0.052,0.154,0.106,0.30000000000000004,0.8,2.345,20.576,0,-50.0
0.072,0.077,0.112,0.156,0.16,0.126,-10.0,-10.0,0.0,0.0,0.050000000000000044,0.55,15.77,42.95,0,-50.0
0.071,0.077,0.112,0.156,0.111,0.138,0.087,0.062,0.16,0.126,0.050000000000000044,0.55,21.193,35.322,0,0
0.404,0.068,0.104,0.137,0.131,0.149,-10.0,-10.0,0.0,0.0,0.4,0.9,51.889,86.483,0,0
0.403,0.068,0.104,0.137,0.178,0.143,0.398,0.211,0.131,0.149,0.4,0.9,39.451,65.752,0,0
