box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.421,0.077,0.182,0.155,0.176,0.173,-10.0,-10.0,0.0,0.0,-0.2,1.0,14.445,40.742,0,-50.0
0.421,0.077,0.182,0.155,0.185,0.16,-0.199,0.086,0.176,0.173,-0.2,0.1,-8.129,13.117,-30.0,-50.0
-0.102,0.049,0.134,0.167,0.143,0.161,-10.0,-10.0,0.0,0.0,-0.09999999999999998,0.4,23.482,39.137,0,0
-0.102,0.049,0.134,0.167,0.108,0.181,-0.1,0.18,0.143,0.161,-0.15000000000000002,0.35,-1.323,14.46,0,-50.0
-0.423,0.082,0.161,0.166,0.156,0.109,-10.0,-10.0,0.0,0.0,-0.09999999999999998,0.9,16.041,43.403,0,-50.0
-0.423,0.082,0.161,0.166,0.176,0.149,-0.404,0.054,0.156,0.109,-0.35,0.65,-4.345,9.424,0,-50.0
0.04,0.052,0.13,0.105,0.118,0.113,-10.0,-10.0,0.0,0.0,0.050000000000000044,0.55,-3.511,10.815,0,-50.0
0.04,0.052,0.13,0.105,0.147,0.163,-0.302,0.058,0.118,0.113,-0.04999999999999999,0.45,-0.208,16.319,0,-50.0
0.47,0.091,0.122,0.184,0.143,0.145,-10.0,-10.0,0.0,0.0,-0.2,1.0,6.736,27.894,0,-50.0
0.469,0.091,0.122,0.184,0.165,0.158,-0.199,0.072,0.143,0.145,-0.2,0.1,-11.302,7.829,-30.0,-50.0
0.324,0.082,0.171,0.166,0.126,0.176,-10.0,-10.0,0.0,0.0,0.35,0.85,43.638,89.398,0,-50.0
0.502,0.085,0.171,0.166,0.14,0.177,0.349,0.087,0.126,0.176,-0.2,1.0,17.133,45.222,0,-50.0
0.412,0.063,0.111,0.128,0.104,0.194,-10.0,-10.0,0.0,0.0,-0.2,1.0,3.134,21.89,0,-50.0
0.412,0.063,0.111,0.128,0.133,0.165,-0.189,0.096,0.104,0.194,-0.2,0.1,-4.553,19.077,-30.0,-50.0
-0.09,0.059,0.14,0.119,0.189,0.18,-10.0,-10.0,0.0,0.0,-0.09999999999999998,0.4,6.977,28.296,0,-50.0
0.218,0.059,0.14,0.119,0.116,0.135,-0.1,0.089,0.189,0.18,-0.2,0.1,-4.726,8.79,0,-50.0
0.148,0.057,0.171,0.116,0.119,0.119,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.65,48.493,80.823,0,0
0.147,0.057,0.171,0.116,0.14,0.157,0.149,0.175,0.119,0.119,0.15000000000000002,0.65,46.433,77.389,0,0
0.007,0.093,0.189,0.187,0.144,0.1,-10.0,-10.0,0.0,0.0,0.35,0.85,20.763,51.272,0,-50.0
0.007,0.093,0.189,0.187,0.171,0.155,0.349,0.049,0.144,0.1,0.19999999999999996,0.7,33.255,55.426,0,0
0.174,0.065,0.17,0.131,0.112,0.181,-10.0,-10.0,0.0,0.0,0.19999999999999996,0.7,46.766,77.944,0,0
0.174,0.065,0.17,0.131,0.118,0.186,0.199,0.221,0.112,0.181,0.15000000000000002,0.65,19.232,48.72,0,-50.0
0.386,0.091,0.151,0.183,0.156,0.128,-10.0,-10.0,0.0,0.0,-0.25,0.6,9.315,32.193,0,-50.0
0.386,0.091,0.151,0.183,0.132,0.133,-0.25,0.063,0.156,0.128,-0.2,0.1,-6.46,5.899,0,-50.0
-0.066,0.084,0.115,0.159,0.174,0.177,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.45,30.271,67.119,0,-50.0
0.123,0.057,0.115,0.159,0.139,0.146,-0.05,0.088,0.174,0.177,-0.2,0.1,-5.917,16.804,-30.0,-50.0
-0.375,0.049,0.192,0.161,0.134,0.152,-10.0,-10.0,0.0,0.0,-0.45,0.05,2.16,30.268,-30.0,-50.0
-0.4,0.08,0.192,0.161,0.154,0.127,-0.441,0.076,0.134,0.152,-0.35,0.65,-5.501,7.497,0,-50.0
0.362,0.089,0.184,0.179,0.151,0.146,-10.0,-10.0,0.0,0.0,-0.25,0.6,-5.139,8.101,0,-50.0
0.362,0.089,0.184,0.179,0.125,0.131,-0.551,0.072,0.151,0.146,0.09999999999999998,0.3,-5.232,7.946,0,-50.0
-0.19,0.053,0.103,0.107,0.12,0.118,-10.0,-10.0,0.0,0.0,-0.2,0.3,54.849,91.415,0,0
-0.19,0.053,0.103,0.107,0.112,0.199,-0.199,0.165,0.12,0.118,-0.2,0.3,-1.213,14.645,0,-50.0
0.139,0.079,0.151,0.159,0.194,0.108,-10.0,-10.0,0.0,0.0,-0.2,0.1,-4.442,9.262,0,-50.0
0.139,0.079,0.151,0.159,0.193,0.138,-0.602,0.049,0.194,0.108,-0.35,0.65,-1.205,14.658,0,-50.0
0.04,0.061,0.175,0.124,0.166,0.192,-10.0,-10.0,0.0,0.0,0.050000000000000044,0.55,2.007,20.012,0,-50.0
0.039,0.061,0.175,0.124,0.139,0.123,-0.412,0.049,0.166,0.192,-0.35,0.65,5.755,26.259,0,-50.0
0.232,0.073,0.182,0.147,0.175,0.185,-10.0,-10.0,0.0,0.0,0.25,0.75,0.708,17.848,0,-50.0
0.231,0.073,0.182,0.147,0.105,0.184,-0.229,0.049,0.175,0.185,-0.2,0.1,-1.015,14.974,0,-50.0
0.488,0.078,0.176,0.158,0.194,0.117,-10.0,-10.0,0.0,0.0,-0.2,1.0,10.796,34.661,0,-50.0
0.488,0.078,0.176,0.158,0.103,0.164,-0.199,0.058,0.194,0.117,-0.2,0.1,-9.674,10.543,-30.0,-50.0
-0.496,0.096,0.148,0.193,0.12,0.168,-10.0,-10.0,0.0,0.0,-0.5,0.0,11.535,45.893,-30.0,-50.0
