box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
-0.142,0.097,0.196,0.195,0.119,0.128,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.65,38.864,64.774,0,0
-0.142,0.097,0.196,0.195,0.188,0.131,-0.05,0.258,0.119,0.128,0.15000000000000002,0.25,17.069,45.116,0,-50.0
0.143,0.075,0.152,0.151,0.184,0.174,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.95,54.188,90.314,0,0
0.143,0.075,0.152,0.151,0.108,0.18,0.15,0.237,0.184,0.174,-0.25,0.3,-6.558,15.736,-30.0,-50.0
-0.226,0.097,0.113,0.196,0.1,0.156,-10.0,-10.0,0.0,0.0,-0.2,0.35,24.267,67.113,-30.0,-50.0
-0.38,0.056,0.113,0.196,0.101,0.13,-0.2,0.077,0.1,0.156,-0.15000000000000002,0.6,13.16,38.601,0,-50.0
-0.267,0.083,0.116,0.168,0.139,0.177,-10.0,-10.0,0.0,0.0,-0.25,0.4,51.219,85.366,0,0
-0.268,0.083,0.116,0.168,0.136,0.194,-0.252,0.256,0.139,0.177,-0.2,0.75,15.937,43.229,0,-50.0
0.047,0.076,0.194,0.154,0.191,0.133,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.5,45.654,76.09,0,0
0.047,0.076,0.194,0.154,0.163,0.155,0.099,0.22,0.191,0.133,-0.25,0.3,-3.629,20.617,-30.0,-50.0
-0.372,0.084,0.184,0.17,0.184,0.118,-10.0,-10.0,0.0,0.0,-0.45,0.65,41.167,68.612,0,0
-0.372,0.084,0.184,0.17,0.102,0.119,-0.448,0.228,0.184,0.118,-0.45,0.9,33.774,72.958,0,-50.0
0.281,0.096,0.123,0.193,0.143,0.158,-10.0,-10.0,0.0,0.0,0.19999999999999996,1.0,30.662,67.77,0,-50.0
0.28,0.096,0.123,0.193,0.158,0.178,0.094,0.071,0.143,0.158,0.15000000000000002,0.4,33.431,55.72,0,0
0.258,0.08,0.169,0.161,0.162,0.197,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.95,41.539,85.899,0,-50.0
0.258,0.08,0.169,0.161,0.187,0.113,0.027,0.08,0.162,0.197,0.050000000000000044,0.6,39.285,65.476,0,0
-0.091,0.065,0.199,0.131,0.158,0.191,-10.0,-10.0,0.0,0.0,0.0,0.65,37.036,61.728,0,0
-0.092,0.065,0.199,0.131,0.147,0.145,0.0,0.226,0.158,0.191,-0.25,0.3,9.578,42.63,-30.0,-50.0
-0.478,0.07,0.126,0.142,0.111,0.19,-10.0,-10.0,0.0,0.0,-0.5,0.8,49.285,82.142,0,0
-0.478,0.07,0.126,0.142,0.184,0.118,-0.496,0.236,0.111,0.19,-0.45,0.9,37.955,63.26,0,0
0.326,0.095,0.18,0.191,0.101,0.133,-10.0,-10.0,0.0,0.0,0.44999999999999996,0.7,27.221,62.036,0,-50.0
0.326,0.095,0.18,0.191,0.101,0.176,0.56,0.05,0.101,0.133,0.30000000000000004,0.8,26.163,43.606,0,0
-0.422,0.059,0.181,0.119,0.109,0.193,-10.0,-10.0,0.0,0.0,-0.5,0.45,35.138,58.565,0,0
-0.423,0.059,0.181,0.119,0.175,0.165,-0.499,0.215,0.109,0.193,-0.45,0.9,0.748,17.914,0,-50.0
-0.361,0.058,0.162,0.118,0.174,0.194,-10.0,-10.0,0.0,0.0,-0.35,0.4,54.332,90.554,0,0
-0.362,0.058,0.162,0.118,0.128,0.151,-0.349,0.214,0.174,0.194,-0.35,0.35,20.37,60.618,-30.0,-50.0
0.331,0.063,0.163,0.127,0.168,0.199,-10.0,-10.0,0.0,0.0,0.35,0.35,52.755,87.926,0,0
0.331,0.063,0.163,0.127,0.177,0.19,0.349,0.226,0.168,0.199,-0.25,0.3,-4.782,18.696,-30.0,-50.0
-0.128,0.064,0.153,0.129,0.109,0.181,-10.0,-10.0,0.0,0.0,-0.09999999999999998,1.0,46.65,77.751,0,0
-0.128,0.064,0.153,0.129,0.118,0.19,-0.099,0.219,0.109,0.181,-0.25,0.3,-3.425,20.958,-30.0,-50.0
-0.458,0.091,0.175,0.183,0.101,0.195,-10.0,-10.0,0.0,0.0,-0.5,0.8,44.724,74.541,0,0
-0.458,0.091,0.175,0.183,0.142,0.137,-0.496,0.28,0.101,0.195,-0.45,0.9,43.171,71.952,0,0
0.367,0.071,0.178,0.143,0.163,0.108,-10.0,-10.0,0.0,0.0,0.30000000000000004,0.7,42.333,70.556,0,0
0.367,0.071,0.178,0.143,0.101,0.108,0.3,0.196,0.163,0.108,0.5,0.7,14.064,40.107,0,-50.0
-0.242,0.068,0.154,0.137,0.126,0.12,-10.0,-10.0,0.0,0.0,-0.15000000000000002,0.95,43.574,89.29,0,-50.0
-0.242,0.068,0.154,0.137,0.108,0.133,-0.091,0.062,0.126,0.12,0.30000000000000004,0.25,20.183,50.306,0,-50.0
0.45,0.091,0.133,0.183,0.199,0.104,-10.0,-10.0,0.0,0.0,0.5,0.6,42.716,71.194,0,0
0.45,0.091,0.133,0.183,0.137,0.163,0.499,0.234,0.199,0.104,0.35,0.9,7.596,29.328,0,-50.0
0.261,0.055,0.114,0.111,0.154,0.178,-10.0,-10.0,0.0,0.0,0.25,0.35,53.404,89.008,0,0
0.261,0.055,0.114,0.111,0.103,0.159,0.25,0.199,0.154,0.178,-0.25,0.3,7.31,28.851,0,-50.0
