box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.38,0.052,0.155,0.167,0.143,0.147,-1.0,-1.0,0.0,0.0,0.49,0.06,-15.0596,8.234,-100.0,0.0
0.378,0.056,0.155,0.171,0.135,0.192,0.584,0.087,0.15,0.145,0.5,0.37,-0.8542000000000005,15.243,0,-10.0
0.497,0.071,0.129,0.133,0.123,0.125,-1.0,-1.0,0.0,0.0,0.26,0.22,31.016600000000004,68.361,0,-10.0
0.5,0.068,0.125,0.141,0.124,0.191,0.255,0.065,0.135,0.125,0.83,0.85,6.523999999999997,27.54,0,-10.0
0.5,0.08,0.194,0.169,0.179,0.185,-1.0,-1.0,0.0,0.0,0.86,0.11,1.4732000000000003,19.122,0,-10.0
0.497,0.086,0.19,0.174,0.185,0.102,0.823,0.096,0.185,0.184,0.3,0.92,0.5833999999999993,17.639,0,-10.0
0.504,0.071,0.107,0.148,0.147,0.185,-1.0,-1.0,0.0,0.0,0.4,0.78,31.6952,69.492,0,-10.0
0.501,0.071,0.1,0.144,0.162,0.195,0.244,0.076,0.148,0.179,0.75,0.57,18.805999999999997,48.01,0,-10.0
0.503,0.059,0.108,0.119,0.109,0.138,-1.0,-1.0,0.0,0.0,0.88,0.71,8.700799999999997,31.168,0,-10.0
0.496,0.061,0.115,0.113,0.132,0.139,0.765,0.074,0.119,0.139,0.08,0.19,4.0982,23.497,0,-10.0
0.507,0.069,0.129,0.129,0.111,0.163,-1.0,-1.0,0.0,0.0,0.27,0.93,28.1006,63.501,0,-10.0
0.495,0.068,0.128,0.128,0.119,0.161,0.268,0.073,0.119,0.152,0.01,0.49,21.304399999999998,52.174,0,-10.0
0.506,0.091,0.112,0.172,0.111,0.114,-1.0,-1.0,0.0,0.0,0.68,0.24,26.814799999999998,61.358,0,-10.0
0.506,0.088,0.108,0.183,0.133,0.1,0.677,0.051,0.115,0.113,0.94,0.91,11.0918,35.153,0,-10.0
0.487,0.095,0.119,0.198,0.2,0.165,-1.0,-1.0,0.0,0.0,0.65,0.29,10.815000000000005,68.025,-100.0,-10.0
0.34,0.058,0.109,0.193,0.19,0.154,1.693,0.052,0.201,0.158,0.6,0.16,-29.115,1.475,-100.0,-10.0
0.498,0.083,0.111,0.141,0.19,0.117,-1.0,-1.0,0.0,0.0,0.66,0.32,34.6802,74.467,0,-10.0
0.507,0.086,0.102,0.146,0.197,0.165,0.656,0.054,0.187,0.112,0.06,0.77,18.2708,47.118,0,-10.0
1.109,0.066,0.142,0.176,0.165,0.146,-1.0,-1.0,0.0,0.0,0.13,0.12,-28.0932,3.178,-100.0,-10.0
1.102,0.073,0.137,0.182,0.192,0.116,0.111,0.073,0.161,0.143,0.81,0.15,-7.3132,4.478,0,-10.0
