box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.499,0.093,0.194,0.187,0.111,0.1,-1.0,-1.0,0.0,0.0,0.499,0.386,49.6614,82.769,0,0.0
0.498,0.093,0.194,0.187,0.158,0.138,0.499,0.236,0.111,0.1,0.499,0.505,42.791999999999994,71.32,0,0.0
0.499,0.067,0.195,0.135,0.198,0.188,-1.0,-1.0,0.0,0.0,0.499,0.378,57.9114,96.519,0,0.0
0.499,0.067,0.195,0.135,0.129,0.164,0.499,0.228,0.198,0.1,0.498,0.554,50.5482,84.247,0,0.0
0.497,0.061,0.156,0.123,0.154,0.176,-1.0,-1.0,0.0,0.0,0.499,0.36,55.563,92.605,0,0.0
0.495,0.061,0.156,0.123,0.184,0.181,0.496,0.21,0.154,0.1,0.498,0.539,48.6792,81.132,0,0.0
0.498,0.053,0.192,0.108,0.155,0.108,-1.0,-1.0,0.0,0.0,0.499,0.311,51.214800000000004,85.358,0,0.0
0.498,0.053,0.192,0.108,0.181,0.181,0.497,0.161,0.155,0.1,0.498,0.456,52.9182,88.197,0,0.0
0.499,0.082,0.122,0.165,0.188,0.121,-1.0,-1.0,0.0,0.0,0.499,0.375,46.417199999999994,77.362,0,0.0
0.497,0.082,0.122,0.165,0.151,0.135,0.496,0.225,0.188,0.1,0.498,0.503,39.1182,65.197,0,0.0
0.498,0.059,0.173,0.119,0.196,0.139,-1.0,-1.0,0.0,0.0,0.499,0.338,54.770999999999994,91.285,0,0.0
0.499,0.059,0.173,0.119,0.14,0.187,0.498,0.188,0.196,0.1,0.498,0.501,49.0308,81.718,0,0.0
0.498,0.056,0.199,0.113,0.14,0.179,-1.0,-1.0,0.0,0.0,0.499,0.352,46.124399999999994,76.874,0,0.0
0.498,0.056,0.199,0.113,0.116,0.165,0.498,0.202,0.14,0.1,0.498,0.524,39.312599999999996,65.521,0,0.0
0.498,0.056,0.181,0.113,0.123,0.199,-1.0,-1.0,0.0,0.0,0.499,0.362,45.4428,75.738,0,0.0
0.498,0.056,0.181,0.113,0.176,0.146,0.499,0.212,0.123,0.1,0.498,0.534,48.044399999999996,80.074,0,0.0
0.499,0.069,0.16,0.139,0.18,0.186,-1.0,-1.0,0.0,0.0,0.499,0.381,56.029799999999994,93.383,0,0.0
0.498,0.069,0.16,0.139,0.172,0.177,0.5,0.231,0.18,0.1,0.499,0.563,51.1068,85.178,0,0.0
0.499,0.089,0.177,0.179,0.128,0.14,-1.0,-1.0,0.0,0.0,0.499,0.398,51.590399999999995,85.984,0,0.0
0.499,0.089,0.177,0.179,0.135,0.101,0.501,0.248,0.128,0.1,0.499,0.519,44.6772,74.462,0,0.0
