box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.491,0.058,0.19,0.116,0.162,0.144,-10.0,-10.0,0.0,0.0,0.451,0.308,46.615,77.692,0,0
0.489,0.057,0.184,0.121,0.113,0.187,0.456,0.182,0.17,0.143,0.429,0.496,38.51,64.184,0,0
-0.278,0.073,0.175,0.153,0.172,0.19,-10.0,-10.0,0.0,0.0,-0.272,0.379,57.015,95.026,0,0
-0.271,0.087,0.173,0.153,0.146,0.162,-0.266,0.242,0.179,0.179,-0.262,0.547,47.375,78.959,0,0
-0.102,0.098,0.184,0.207,0.118,0.181,-10.0,-10.0,0.0,0.0,-0.137,0.429,47.046,78.411,0,0
-0.117,0.098,0.205,0.195,0.161,0.143,-0.129,0.284,0.102,0.173,-0.136,0.586,42.339,70.566,0,0
0.039,0.077,0.125,0.152,0.13,0.103,-10.0,-10.0,0.0,0.0,0.03,0.299,3.494,55.825,-100.0,-50.0
0.074,0.047,0.115,0.154,0.19,0.136,0.007,0.045,0.137,0.103,0.01,0.302,-16.939,21.767,-100.0,-50.0
0.443,0.08,0.148,0.143,0.104,0.178,-10.0,-10.0,0.0,0.0,0.426,0.368,47.551,79.253,0,0
0.459,0.074,0.148,0.15,0.132,0.175,0.432,0.23,0.104,0.174,0.426,0.538,43.217,72.029,0,0
0.091,0.065,0.143,0.107,0.135,0.103,-10.0,-10.0,0.0,0.0,0.08,0.269,16.125,60.21,-100.0,0
0.107,0.056,0.153,0.118,0.161,0.116,0.091,0.166,0.139,0.098,0.085,0.381,15.362,58.937,-100.0,0
0.068,0.061,0.187,0.118,0.171,0.181,-10.0,-10.0,0.0,0.0,0.075,0.352,54.538,90.898,0,0
0.061,0.066,0.186,0.131,0.127,0.16,0.078,0.222,0.164,0.168,0.016,0.509,40.529,67.55,0,0
-0.181,0.059,0.195,0.134,0.178,0.13,-10.0,-10.0,0.0,0.0,-0.203,0.313,52.019,86.699,0,0
-0.178,0.067,0.194,0.139,0.161,0.098,-0.212,0.072,0.179,0.123,-0.211,0.414,-2.046,46.589,-100.0,-50.0
0.493,0.094,0.154,0.191,0.18,0.131,-10.0,-10.0,0.0,0.0,0.498,0.377,53.679,89.465,0,0
0.493,0.096,0.149,0.2,0.096,0.187,0.497,0.256,0.181,0.144,0.423,0.565,32.289,53.816,0,0
-0.306,0.055,0.131,0.123,0.107,0.15,-10.0,-10.0,0.0,0.0,-0.293,0.339,50.232,83.72,0,0
