box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.48,0.096,0.161,0.194,0.198,0.104,-10.0,-10.0,0.0,0.0,0.481,0.347,18.079,63.466,-100.0,0
0.481,0.096,0.161,0.194,0.109,0.103,0.495,0.245,0.198,0.104,0.404,0.45,7.177,45.296,-100.0,0
0.456,0.071,0.189,0.144,0.122,0.114,-10.0,-10.0,0.0,0.0,0.377,0.307,18.643,64.405,-100.0,0
0.456,0.071,0.189,0.144,0.195,0.124,0.382,0.2,0.122,0.114,0.381,0.431,35.327,58.879,0,0
0.232,0.066,0.122,0.134,0.161,0.141,-10.0,-10.0,0.0,0.0,0.234,0.324,50.683,84.472,0,0
0.23,0.066,0.122,0.134,0.169,0.152,0.232,0.204,0.161,0.141,0.233,0.476,47.414,79.024,0,0
0.063,0.094,0.189,0.19,0.151,0.131,-10.0,-10.0,0.0,0.0,0.019,0.37,47.968,79.948,0,0
0.063,0.094,0.189,0.19,0.16,0.133,0.024,0.255,0.151,0.131,0.02,0.503,43.062,71.77,0,0
-0.238,0.07,0.111,0.141,0.134,0.133,-10.0,-10.0,0.0,0.0,-0.238,0.323,53.782,89.638,0,0
-0.24,0.07,0.111,0.141,0.173,0.135,-0.241,0.207,0.134,0.133,-0.238,0.458,40.745,67.909,0,0
