box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.412,0.061,0.149,0.124,0.145,0.166,-10.0,-10.0,0.0,0.0,0.411,0.339,57.954,96.59,0,0
0.412,0.061,0.149,0.124,0.112,0.179,0.409,0.206,0.145,0.166,0.393,0.518,49.855,83.092,0,0
0.045,0.085,0.182,0.172,0.133,0.119,-10.0,-10.0,0.0,0.0,0.033,0.34,26.096,76.827,-100.0,0
0.045,0.085,0.182,0.172,0.114,0.132,0.038,0.231,0.133,0.119,0.028,0.472,42.742,71.237,0,0
0.16,0.092,0.165,0.185,0.142,0.128,-10.0,-10.0,0.0,0.0,0.159,0.362,55.388,92.314,0,0
0.157,0.092,0.165,0.185,0.173,0.116,0.162,0.248,0.142,0.128,0.159,0.478,22.694,71.157,-100.0,0
-0.204,0.094,0.127,0.189,0.174,0.193,-10.0,-10.0,0.0,0.0,-0.203,0.431,50.362,83.937,0,0
-0.198,0.094,0.127,0.189,0.11,0.108,-0.218,0.049,0.174,0.193,-0.258,0.539,-16.314,22.81,-100.0,-50.0
0.313,0.093,0.187,0.187,0.143,0.169,-10.0,-10.0,0.0,0.0,0.28,0.405,49.758,82.93,0,0
0.313,0.093,0.187,0.187,0.169,0.128,0.283,0.271,0.143,0.169,0.281,0.533,44.579,74.299,0,0
-0.193,0.055,0.182,0.112,0.158,0.122,-10.0,-10.0,0.0,0.0,-0.201,0.283,32.752,87.921,-100.0,0
-0.194,0.055,0.182,0.112,0.173,0.127,-0.203,0.172,0.158,0.122,-0.201,0.41,47.63,79.384,0,0
0.023,0.084,0.16,0.17,0.106,0.146,-10.0,-10.0,0.0,0.0,0.051,0.365,49.609,82.683,0,0
0.022,0.084,0.16,0.17,0.118,0.155,0.05,0.242,0.106,0.146,0.05,0.52,40.048,66.748,0,0
0.438,0.069,0.123,0.139,0.101,0.123,-10.0,-10.0,0.0,0.0,0.426,0.311,53.788,89.647,0,0
0.438,0.069,0.123,0.139,0.129,0.148,0.432,0.2,0.101,0.123,0.427,0.459,47.68,79.468,0,0
0.343,0.098,0.108,0.198,0.153,0.185,-10.0,-10.0,0.0,0.0,0.344,0.432,49.39,82.317,0,0
0.342,0.098,0.108,0.198,0.159,0.152,0.332,0.29,0.153,0.185,0.341,0.584,45.412,75.688,0,0
-0.417,0.072,0.195,0.145,0.182,0.155,-10.0,-10.0,0.0,0.0,-0.424,0.349,55.668,92.78,0,0
-0.417,0.072,0.195,0.145,0.126,0.12,-0.423,0.222,0.182,0.155,-0.476,0.469,20.747,67.913,-100.0,0
-0.431,0.063,0.132,0.127,0.143,0.191,-10.0,-10.0,0.0,0.0,-0.431,0.367,57.481,95.802,0,0
-0.432,0.063,0.132,0.127,0.123,0.151,-0.427,0.222,0.143,0.191,-0.424,0.518,50.794,84.658,0,0
0.011,0.077,0.193,0.156,0.158,0.119,-10.0,-10.0,0.0,0.0,-0.02,0.324,21.215,68.692,-100.0,0
0.01,0.077,0.193,0.156,0.163,0.13,-0.021,0.215,0.158,0.119,-0.02,0.454,38.493,64.155,0,0
0.378,0.059,0.15,0.12,0.124,0.19,-10.0,-10.0,0.0,0.0,0.373,0.359,52.483,87.473,0,0
0.378,0.059,0.15,0.12,0.16,0.133,0.373,0.214,0.124,0.19,0.372,0.492,49.106,81.844,0,0
-0.345,0.077,0.127,0.156,0.181,0.181,-10.0,-10.0,0.0,0.0,-0.345,0.386,50.829,84.715,0,0
-0.347,0.077,0.127,0.156,0.198,0.136,-0.347,0.246,0.181,0.181,-0.344,0.522,42.543,70.905,0,0
